iter	Logloss
0	0.6847773264
1	0.6769142117
2	0.6696742952
3	0.6627577908
4	0.6570453145
5	0.6511435779
6	0.6454752251
7	0.6401346423
8	0.6351949637
9	0.6305067881
10	0.6260907847
11	0.6219593514
12	0.6180866527
13	0.614477557
14	0.6110063654
15	0.6078723183
16	0.6048526079
17	0.6021001839
18	0.599662727
19	0.597209783
20	0.5948291262
21	0.5926450973
22	0.5904661396
23	0.5884680797
24	0.5866384331
25	0.5849853201
26	0.5833445467
27	0.5817689444
28	0.580288989
29	0.5788593427
30	0.5775982414
31	0.5763458988
32	0.5751931786
33	0.574061856
34	0.5731287221
35	0.5720806591
36	0.5711294543
37	0.5703149673
38	0.5693763324
39	0.568564054
40	0.5678190485
41	0.5669819916
42	0.5662577869
43	0.5655289368
44	0.5648318205
45	0.5642141191
46	0.5635689458
47	0.5630196941
48	0.5624047494
49	0.5618911206
50	0.5613921749
51	0.5608458001
52	0.5603880661
53	0.5599158383
54	0.5594627609
55	0.5590140571
56	0.558625607
57	0.5582123884
58	0.5578272482
59	0.5575107825
60	0.5571699597
61	0.5568525694
62	0.5565156019
63	0.5561601161
64	0.5559028258
65	0.5556319544
66	0.5553732568
67	0.5550757225
68	0.5547772815
69	0.5544951127
70	0.5542860968
71	0.5540627116
72	0.5538731795
73	0.5536381402
74	0.5534445572
75	0.5532483337
76	0.5530503116
77	0.5528566657
78	0.5526758331
79	0.5525029478
80	0.5523147365
81	0.5521177778
82	0.5519419153
83	0.5517887821
84	0.5516153262
85	0.5514713429
86	0.5513151615
87	0.5511749923
88	0.5510173699
89	0.550888264
90	0.5507632268
91	0.5506499788
92	0.5505160328
93	0.5503735122
94	0.5502533098
95	0.5501353722
96	0.5500379444
97	0.5499411816
98	0.5498389766
99	0.5497429027
100	0.5496529468
101	0.5495624345
102	0.5494812598
103	0.5493750572
104	0.5493010257
105	0.5492160162
106	0.5491308081
107	0.5490385096
108	0.5489735921
109	0.5488961274
110	0.5488378227
111	0.5487617563
112	0.5487046576
113	0.5486470293
114	0.5485810065
115	0.5485206108
116	0.5484596567
117	0.5484062544
118	0.5483313612
119	0.548287956
120	0.5482636442
121	0.5481874491
122	0.5481332362
123	0.5480859841
124	0.5480434659
125	0.5479800489
126	0.5479309572
127	0.5478884034
128	0.5478305268
129	0.5477788585
130	0.5477461214
131	0.5477063531
132	0.5476384068
133	0.5476004484
134	0.5475551884
135	0.5475118975
136	0.5474782792
137	0.547445305
138	0.5474012867
139	0.5473693562
140	0.5473380202
141	0.5473085287
142	0.5472653613
143	0.5472395834
144	0.5472064505
145	0.547167074
146	0.5471301678
147	0.5470851998
148	0.547054854
149	0.5470277484
150	0.5469987063
151	0.5469617239
152	0.5469361121
153	0.5468985075
154	0.5468775204
155	0.5468483337
156	0.5468185883
157	0.5467920265
158	0.5467725443
159	0.5467450872
160	0.5467185757
161	0.5466937691
162	0.5466777152
163	0.5466621945
164	0.5466490781
165	0.5466249456
166	0.5466007947
167	0.54656802
168	0.5465500672
169	0.5465157691
170	0.5465015601
171	0.5464855988
172	0.5464563659
173	0.5464389827
174	0.5464208457
175	0.546409465
176	0.5463970055
177	0.5463720178
178	0.5463403397
179	0.5463260001
180	0.5463013277
181	0.5462717422
182	0.5462586622
183	0.5462466388
184	0.5462326091
185	0.5462227542
186	0.5462152711
187	0.5462018632
188	0.546176654
189	0.5461626919
190	0.5461469643
191	0.5461354449
192	0.5461127931
193	0.5461007734
194	0.5460885816
195	0.5460780073
196	0.5460671149
197	0.5460442306
198	0.5460206936
199	0.5460091694
200	0.5459973682
201	0.5459921051
202	0.5459774974
203	0.5459616293
204	0.5459551997
205	0.5459453646
206	0.5459276603
207	0.5459201397
208	0.5459104935
209	0.5458995148
210	0.5458925614
211	0.5458781293
212	0.5458703109
213	0.5458603737
214	0.5458458431
215	0.5458364412
216	0.5458250421
217	0.5458136001
218	0.545807199
219	0.5457929296
220	0.5457857486
221	0.5457668085
222	0.5457557771
223	0.5457466655
224	0.5457387193
225	0.5457254688
226	0.545709529
227	0.5457002099
228	0.5456918589
229	0.5456771204
230	0.5456704472
231	0.545661676
232	0.5456507084
233	0.5456323131
234	0.5456150727
235	0.5456082842
236	0.5456002715
237	0.5455940034
238	0.5455920909
239	0.5455867858
240	0.5455713805
241	0.5455583671
242	0.5455468471
243	0.5455421075
244	0.5455344018
245	0.5455186097
246	0.5455154247
247	0.5455066095
248	0.5455002816
249	0.5454936202
250	0.5454897222
251	0.5454801487
252	0.5454704131
253	0.5454626814
254	0.5454558792
255	0.5454490609
256	0.5454410514
257	0.5454315879
258	0.5454166985
259	0.5454078925
260	0.5453962798
261	0.5453899813
262	0.545387918
263	0.545382171
264	0.5453727752
265	0.5453572885
