iter	Logloss
266	0.5453457134
267	0.5453390423
268	0.5453295914
269	0.5453187932
270	0.545312956
271	0.5453038286
272	0.5452987679
273	0.5452925067
274	0.5452803906
275	0.5452786629
276	0.545276433
277	0.5452731411
278	0.5452616269
279	0.5452586297
280	0.5452505261
281	0.5452469292
282	0.5452357596
283	0.545229325
284	0.5452266694
285	0.5452117404
286	0.5452032561
287	0.5451983858
288	0.5451958261
289	0.5451824365
290	0.5451772217
291	0.5451707255
292	0.5451641873
293	0.5451609931
294	0.5451529396
295	0.5451482619
296	0.545140941
297	0.545137411
298	0.5451329037
299	0.5451309571
300	0.545124072
301	0.5451143577
302	0.5451056
303	0.5450910272
304	0.5450809041
305	0.5450727643
306	0.5450640654
307	0.5450615158
308	0.5450567315
309	0.5450449159
310	0.5450390455
311	0.5450277237
312	0.5450209418
313	0.5450160833
314	0.5450066454
315	0.5450013554
316	0.5449927909
317	0.5449864646
318	0.5449836042
319	0.544976364
320	0.5449703153
321	0.5449631818
322	0.5449564525
323	0.5449505262
324	0.5449456732
325	0.5449361763
326	0.544931174
327	0.5449244452
328	0.5449204839
329	0.5449159859
330	0.5449072681
331	0.5449047513
332	0.5449010854
333	0.5448929745
334	0.5448878276
335	0.5448842115
336	0.5448799763
337	0.5448756388
338	0.5448723234
339	0.544860615
340	0.5448580325
341	0.5448545554
342	0.5448506129
343	0.5448424561
344	0.5448327658
345	0.5448245757
346	0.5448195736
347	0.5448136292
348	0.5448067468
349	0.5447976758
350	0.5447923874
351	0.5447890329
352	0.5447781304
353	0.5447704823
354	0.5447637182
355	0.5447592212
356	0.5447558719
357	0.5447529653
358	0.5447529612
359	0.5447473923
360	0.5447414279
361	0.5447373312
362	0.5447298919
363	0.5447200678
364	0.5447140183
365	0.5447068301
366	0.5447006266
367	0.5446947882
368	0.5446918686
369	0.5446800258
370	0.5446729824
371	0.544667459
372	0.5446629246
373	0.5446571704
374	0.5446521754
375	0.5446398416
376	0.5446286663
377	0.5446228422
378	0.5446198465
379	0.5446158454
380	0.5446090056
381	0.5446035218
382	0.5445979233
383	0.5445900238
384	0.5445811583
385	0.5445740483
386	0.54456658
387	0.5445626764
388	0.5445580156
389	0.5445563314
390	0.5445470555
391	0.5445408182
392	0.5445332965
393	0.5445287423
394	0.5445260852
395	0.5445224768
396	0.5445149943
397	0.5445079639
398	0.5445032714
399	0.5444974954
400	0.5444908887
401	0.5444874526
402	0.5444799212
403	0.5444745882
404	0.5444703926
405	0.5444643869
406	0.5444602577
407	0.5444552066
408	0.5444486963
409	0.5444440529
410	0.5444374347
411	0.5444336025
412	0.5444221554
413	0.544418266
414	0.5444120824
415	0.5444064266
416	0.5443952767
417	0.5443923721
418	0.5443882143
419	0.5443842896
420	0.5443784606
421	0.5443724467
422	0.544366966
423	0.5443631328
424	0.5443561942
425	0.5443517334
426	0.5443446095
427	0.5443382673
428	0.5443289575
429	0.5443199591
430	0.5443146899
431	0.544311704
432	0.544306078
433	0.5443004485
434	0.5442924166
435	0.5442865686
436	0.5442822896
437	0.5442764313
438	0.5442746051
439	0.5442716245
440	0.5442661247
441	0.5442626339
442	0.5442572899
443	0.5442504113
444	0.544244017
445	0.5442386714
446	0.544233426
447	0.5442287759
448	0.5442225072
449	0.5442170784
450	0.5442119765
451	0.544207259
452	0.544200132
453	0.5441916704
454	0.5441892541
455	0.5441864071
456	0.5441779911
457	0.5441712983
458	0.5441651011
459	0.5441620263
460	0.544156626
461	0.5441508639
462	0.5441484311
463	0.5441436145
464	0.544138713
465	0.5441343331
466	0.5441293548
467	0.5441253559
468	0.5441195523
469	0.5441132621
470	0.5441093145
471	0.5441050819
472	0.5440983548
473	0.5440950235
474	0.5440892308
475	0.5440833087
476	0.5440800495
477	0.5440762365
478	0.5440700063
479	0.5440632995
480	0.5440575337
481	0.5440543755
482	0.5440459162
483	0.5440407682
484	0.5440356898
485	0.5440321012
486	0.5440263762
487	0.5440223486
488	0.544016835
489	0.5440130257
490	0.5440074873
491	0.5440028488
492	0.5439971423
493	0.5439918713
494	0.5439876018
495	0.5439811994
496	0.5439795195
497	0.5439765114
498	0.5439701542
499	0.5439672144
